epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.237,2.67826,9.10851,1.5395,0.53753,0.49588,0.48969,0.23124,1.95732,1.86659,1.15011,0.000331237,0.000331237,0.000331237
2,94.735,2.04454,2.21275,1.17223,0.80094,0.68938,0.79476,0.39945,1.7545,1.31662,1.08491,0.000651412,0.000651412,0.000651412
3,142.131,1.87033,1.63119,1.12388,0.84113,0.75142,0.84037,0.42757,1.71946,1.18991,1.07709,0.000958387,0.000958387,0.000958387
4,187.67,1.80732,1.31906,1.10216,0.90636,0.85757,0.91507,0.47318,1.65782,1.01474,1.05615,0.0009406,0.0009406,0.0009406
5,233.024,1.77809,1.22998,1.10202,0.89974,0.84499,0.91476,0.46399,1.67818,1.01968,1.05943,0.0009208,0.0009208,0.0009208
6,277.963,1.71975,1.12518,1.07382,0.93112,0.91622,0.95155,0.4975,1.61427,0.88116,1.03874,0.000901,0.000901,0.000901
7,323.254,1.69563,1.02996,1.07535,0.94501,0.89563,0.94927,0.4975,1.60096,0.89438,1.03374,0.0008812,0.0008812,0.0008812
8,368.731,1.68456,0.99758,1.05915,0.95045,0.9152,0.95199,0.50487,1.61135,0.84794,1.03868,0.0008614,0.0008614,0.0008614
9,414.627,1.65051,0.95684,1.04574,0.969,0.92275,0.96132,0.52667,1.53114,0.80792,1.01574,0.0008416,0.0008416,0.0008416
10,460.224,1.63398,0.94793,1.04116,0.947,0.93677,0.96209,0.52882,1.53356,0.80712,1.01212,0.0008218,0.0008218,0.0008218
11,505.847,1.65707,0.91289,1.03468,0.96292,0.93675,0.96391,0.53985,1.50811,0.7754,1.00574,0.000802,0.000802,0.000802
12,551.656,1.64684,0.90387,1.02911,0.95887,0.9401,0.9616,0.52617,1.54704,0.77174,1.00914,0.0007822,0.0007822,0.0007822
13,597.525,1.5936,0.86488,1.03246,0.93485,0.95283,0.97083,0.54415,1.52018,0.79156,1.00452,0.0007624,0.0007624,0.0007624
14,643.256,1.56498,0.81833,1.01509,0.96254,0.9475,0.96648,0.55339,1.49577,0.74752,1.00149,0.0007426,0.0007426,0.0007426
15,688.647,1.57519,0.82094,1.02107,0.94552,0.9327,0.95032,0.53824,1.48561,0.77185,1.00016,0.0007228,0.0007228,0.0007228
16,734.8,1.59013,0.82094,1.02921,0.96555,0.95081,0.97451,0.56769,1.4575,0.72412,0.98704,0.000703,0.000703,0.000703
17,783.65,1.54667,0.80159,1.01558,0.97472,0.95438,0.97586,0.56156,1.4859,0.7042,0.99077,0.0006832,0.0006832,0.0006832
